Category,Subcategory,Location Name,Store ID,Address,Suite #,City,State,Zip Code,Phone,Hours,Website,Source,Supplier,Filtration Method,Size(s),Price,Category,Subcategory
Retail,Grocery/Supermarket,Whole Foods SF at California & Franklin,,1765 California St,,San Francisco,CA,94109,(415) 674-0500,,,Filter,US Pure Water,Carbon,,,Public,Interior
Retail,Grocery/Supermarket,Whole Foods SF @ 4th St,,399 4th St,,San Francisco,CA,94107,(415) 618-0066,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Whole Foods SF Portrero Hill,,450 Rhode Island St,,San Francisco,CA,94107,(415) 552-1155,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Whole Foods Mill Valley,,414 Miller Ave,,Mill Valley,CA,94941,(415) 381-1200,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Whole Foods Novato (24 hr.),,790 De Long Ave,,Novato,CA,94945,(415) 878-0455,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Whole Foods Los Gatos,,15980 Los Gatos Blvd,,Los Gatos,CA,95032,(408) 358-4434,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Whole Foods Santa Rosa Coddington (24 hr.),,390 Coddingtown Mall,,Santa Rosa,CA,95401,(707) 542-7411,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,"Good Earth, Fairfax",,720 Center Blvd,,Fairfax,CA,94930,(415) 454-0123,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Santa Rosa Community Market,,1899 Mendocino Ave,,Santa Rosa,CA,95401,(707) 546-1806,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Berkeley Bowl ,,2020 Oregon St,,Berkeley,CA,94703,(510) 843-6929,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,Berkeley Bowl West,,920 Heinz Ave,,Berkeley,CA,94710,(510) 898-9555,,,Filter,US Pure Water,Carbon,,,Public,
Retail,Grocery/Supermarket,"United Market, San Rafael",,515 3rd St,,Rafael,CA,94901,(415) 454-8912,,,Filter,US Pure Water,Carbon,,,Public,
Food & Beverage,Water,The Water Store in Greenbrae (24 hr.),,279 Bon Air Center,,Greenbrae,CA,94904,(415) 461-4040,,,Filter,US Pure Water,Carbon,,,Public,Exterior
,,CVS,9863,175 E. 17 Th Street,,Costa Mesa,CA,92627,,,,,,,,,,
,,Circle K,872,13261 Perris Blvd,,Moreno Valley,CA,92553,,,,,,,,,,
,,Dollar Tree 1218,,1460 Bridge Street,,Yuba City,CA,95993,,,,,,,,,,
,,Stater Brothers,,81056 Highway 111,,Indio,CA,92201,,,,,,,,,,
,,CVS 09533,,19783 Rinaldi St,,Northridge,CA,91326,,,,,,,,,,
,,Hostess 143,,12539 S Prairie,,Hawthorne,CA,90250,,,,,,,,,,
,,"Winco Foods, LLC #07",,636 West Harris,,Eureka,CA,95501,,,,,,,,,,
,,Needles Point Liquor,,1109 W Broadway,,Needles,CA,92363,,,,,,,,,,
,,Rite Aid 5665,,13167 Black Mountain Rd,,San Diego,CA,92129,,,,,,,,,,
,,Ralphs,,1416 E. Colorado,,Glendale,CA,91205,,,,,,,,,,
